iteration,fitness,cv_accuracy,selected_features,population_diversity,portfolio_strategy,dataset,method,seed,fold
1,0.024604799400074984,0.9815439736699579,19,1.8629359554452385,baseline,breast_cancer,SP-EHOA,529150,outer_1
2,0.022006374203224516,0.9841686455859685,19,0.7466842204135263,baseline,breast_cancer,SP-EHOA,529150,outer_1
3,0.022006374203224516,0.9841686455859685,19,0.7355495379778727,baseline,breast_cancer,SP-EHOA,529150,outer_1
4,0.022006374203224516,0.9841686455859685,19,0.9236697673668698,baseline,breast_cancer,SP-EHOA,529150,outer_1
