iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.040479853479853584,0.0466936813186814,0.9648351648351647,17,0.511904761904762,0.2939471993984474,-0.028380102040816313,2.8,0.85,0,breast_cancer,SF-EHOA,2026
2,0.040479853479853584,0.04495650183150192,0.9648351648351647,17,0.17261904761904764,0.7572475443266552,0.6390977443609023,2.6,0.8,1,breast_cancer,SF-EHOA,2026
3,0.040479853479853584,0.044076923076923166,0.9648351648351647,17,0.15119047619047615,0.7886012939604798,0.6814947177027493,2.7182399121333853,0.7831499908472277,2,breast_cancer,SF-EHOA,2026
4,0.040479853479853584,0.04384661172161179,0.9648351648351647,17,0.19523809523809527,0.7319651914229389,0.5902902111004705,2.588859485804557,0.7563181238029166,3,breast_cancer,SF-EHOA,2026
5,0.038304029304029416,0.0418594322344323,0.9670329670329669,17,0.12976190476190477,0.8181419457735247,0.7192440194468592,2.4667681708021743,0.7247013653889453,0,breast_cancer,SF-EHOA,2026
6,0.038304029304029416,0.041315476190476264,0.9670329670329669,17,0.2202380952380952,0.6958409162846887,0.5456080562463541,2.1462814031289517,0.6641419768233428,1,breast_cancer,SF-EHOA,2026
7,0.038304029304029416,0.0410238095238096,0.9670329670329669,17,0.23333333333333334,0.681297365324008,0.51034683765666,1.882751893636758,0.6085727371729655,2,breast_cancer,SF-EHOA,2026
8,0.03579487179487191,0.039810897435897545,0.9692307692307691,16,0.16666666666666666,0.7556646939338802,0.6550732969244035,1.6850600514461456,0.5620871015557267,0,breast_cancer,SF-EHOA,2026
9,0.03361904761904752,0.038326007326007404,0.9714285714285715,16,0.2107142857142857,0.6858675447850592,0.5735667606934559,1.4212275335709874,0.5016055315795123,0,breast_cancer,SF-EHOA,2026
10,0.033285714285714404,0.03633882783882793,0.9714285714285713,15,0.15952380952380954,0.7464150572509707,0.6787212787212787,1.2106137667854937,0.45080276578975614,0,breast_cancer,SF-EHOA,2026
