iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,portfolio_strategy,dataset,method,seed,fold
1,0.03209615384615387,0.9745726495726496,9,2.154067078422241,0,memetic,wine,SP-EHOA,500000,outer_3
2,0.03209615384615387,0.9745726495726496,9,0.4050712695326069,0,memetic,wine,SP-EHOA,500000,outer_3
3,0.03209615384615387,0.9745726495726496,9,0.927722233366253,0,memetic,wine,SP-EHOA,500000,outer_3
4,0.03209615384615387,0.9745726495726496,9,0.6328816375155092,0,memetic,wine,SP-EHOA,500000,outer_3
