iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,controller_state,dataset,method,seed,fold
1,0.0392365954255719,0.0447207349081365,0.9657542807149105,16,0.5133333333333334,0.34851458686241293,-0.03125,2.5,0.775,0,baseline,breast_cancer,SF-EHOA,424264,outer_2
2,0.0392365954255719,0.043099137607799036,0.9657542807149105,16,0.20666666666666664,0.7079351191277425,0.5806277056277056,2.0,0.65,1,baseline,breast_cancer,SF-EHOA,424264,outer_2
3,0.036638170228721435,0.03944896887889019,0.9683789526309211,16,0.12,0.8044908840729275,0.7584541062801933,1.5958597826086955,0.5409766304347826,0,explore,breast_cancer,SF-EHOA,424264,outer_2
4,0.031107986501687182,0.036442294713160864,0.9736282964629422,15,0.18666666666666668,0.7043839992137204,0.625,1.2979298913043478,0.4704883152173913,0,explore,breast_cancer,SF-EHOA,424264,outer_2
