iteration,fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.01903978779840841,0.9862068965517242,7,0.5247252747252747,0.3147907647907648,-0.04983880344590652,2.75,0.8375,0,wine,IG-EHOA,2026
2,0.01903978779840841,0.9862068965517242,7,0.217032967032967,0.6789450628736343,0.565773479203002,2.5,0.775,1,wine,IG-EHOA,2026
3,0.01903978779840841,0.9862068965517242,7,0.15659340659340665,0.758545918367347,0.686697320437609,2.25,0.7125,2,wine,IG-EHOA,2026
4,0.01903978779840841,0.9862068965517242,7,0.21428571428571427,0.6765512265512267,0.5714285714285714,2.0,0.65,3,wine,IG-EHOA,2026
5,0.01903978779840841,0.9862068965517242,7,0.17032967032967034,0.7166241496598641,0.6593406593406594,1.75,0.5875,4,wine,IG-EHOA,2026
6,0.01903978779840841,0.9862068965517242,7,0.18406593406593408,0.7101757369614514,0.6317319380582421,1.5,0.525,5,wine,IG-EHOA,2026
7,0.01903978779840841,0.9862068965517242,7,0.1098901098901099,0.8247590702947847,0.7802197802197802,1.25,0.4625,6,wine,IG-EHOA,2026
8,0.01903978779840841,0.9862068965517242,7,0.13186813186813187,0.7675028344671201,0.7346938775510203,1.0,0.4,7,wine,IG-EHOA,2026
