iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.0481324365289883,0.059845988063660455,0.9583743842364532,9,0.5082417582417583,0.36031260406260407,-0.019878081102570944,2.8,0.85,0,wine,IG-EHOA,104729
2,0.0273681318681318,0.050467482948086353,0.9785714285714286,8,0.315934065934066,0.597041847041847,0.32600732600732607,2.6,0.8,0,wine,IG-EHOA,104729
3,0.0273681318681318,0.04626591511936337,0.9785714285714286,8,0.37637362637362637,0.5135191197691197,0.24022823014984263,2.4,0.75,1,wine,IG-EHOA,104729
4,0.0273681318681318,0.045886012694202324,0.9785714285714286,8,0.19230769230769232,0.7505501443001442,0.59375,2.2,0.7,2,wine,IG-EHOA,104729
5,0.0273681318681318,0.03340794334975364,0.9785714285714286,8,0.22802197802197807,0.6663484333127191,0.5397003146163281,2.0,0.65,3,wine,IG-EHOA,104729
6,0.0273681318681318,0.03340794334975364,0.9785714285714286,8,0.14285714285714288,0.7947420634920636,0.7033135834979153,1.8,0.6000000000000001,4,wine,IG-EHOA,104729
7,0.0273681318681318,0.03321563565744595,0.9785714285714286,8,0.20879120879120877,0.7262265512265511,0.5497835497835498,1.6,0.55,5,wine,IG-EHOA,104729
8,0.0273681318681318,0.0317010467980295,0.9785714285714286,8,0.1263736263736264,0.7964143990929705,0.745748299319728,1.4,0.5,6,wine,IG-EHOA,104729
9,0.0273681318681318,0.0317010467980295,0.9785714285714286,8,0.14835164835164835,0.7926587301587302,0.6919025674786043,1.2,0.45,7,wine,IG-EHOA,104729
10,0.0273681318681318,0.029140701970443286,0.9785714285714286,8,0.13736263736263737,0.7956916099773244,0.7147245995172262,1.0,0.4,8,wine,IG-EHOA,104729
