iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,dataset,method,seed,fold
1,0.06342307692307705,0.9405982905982905,6,2.606323951824118,1,wine,M-EHOA,469042,outer_1
2,0.06342307692307705,0.9405982905982905,6,2.1720239057104433,1,wine,M-EHOA,469042,outer_1
3,0.06342307692307705,0.9405982905982905,6,2.66535669233555,1,wine,M-EHOA,469042,outer_1
4,0.057269230769230704,0.9491452991452992,9,1.8067884861907162,1,wine,M-EHOA,469042,outer_1
