iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,dataset,method,seed,fold
1,0.041563554555680476,0.9630671166104238,15,2.0020154930449694,2,breast_cancer,M-EHOA,489898,outer_3
2,0.041563554555680476,0.9630671166104238,15,2.910225960152244,2,breast_cancer,M-EHOA,489898,outer_3
3,0.041563554555680476,0.9630671166104238,15,2.487582034056953,2,breast_cancer,M-EHOA,489898,outer_3
4,0.04154293213348318,0.963087947339916,15,1.68109954531618,2,breast_cancer,M-EHOA,489898,outer_3
