iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,dataset,method,seed,fold
1,0.07244230769230757,0.9322649572649574,7,2.8542141150082134,1,wine,M-EHOA,424264,outer_1
2,0.07209615384615371,0.931837606837607,6,1.9651710517366563,1,wine,M-EHOA,424264,outer_1
3,0.06496153846153858,0.9405982905982905,8,2.312460813256501,1,wine,M-EHOA,424264,outer_1
4,0.039019230769230764,0.966025641025641,7,2.1943429097601337,1,wine,M-EHOA,424264,outer_1
