iteration,fitness,cv_accuracy,selected_features,population_diversity,local_improvements,dataset,method,seed,fold
1,0.040346153846153844,0.9662393162393162,9,1.910389691683858,2,wine,M-EHOA,538516,outer_1
2,0.040346153846153844,0.9662393162393162,9,1.6918610615127678,2,wine,M-EHOA,538516,outer_1
3,0.040346153846153844,0.9662393162393162,9,1.9657232272934122,2,wine,M-EHOA,538516,outer_1
4,0.03957692307692308,0.9662393162393162,8,1.2287676967074812,2,wine,M-EHOA,538516,outer_1
