dataset,method,runs,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_iqr,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_median,f1_score_iqr,f1_score_ci95,mcc_mean,mcc_std,mcc_median,mcc_iqr,mcc_ci95,roc_auc_mean,roc_auc_std,roc_auc_median,roc_auc_iqr,roc_auc_ci95,pr_auc_mean,pr_auc_std,pr_auc_median,pr_auc_iqr,pr_auc_ci95,sensitivity_mean,sensitivity_std,sensitivity_median,sensitivity_iqr,sensitivity_ci95,specificity_mean,specificity_std,specificity_median,specificity_iqr,specificity_ci95,selected_features_mean,selected_features_std,selected_features_median,selected_features_iqr,selected_features_ci95,redundancy_mean,redundancy_std,redundancy_median,redundancy_iqr,redundancy_ci95,interaction_quality_mean,interaction_quality_std,interaction_quality_median,interaction_quality_iqr,interaction_quality_ci95,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median,runtime_seconds_iqr,runtime_seconds_ci95,classifier_seconds_mean,classifier_seconds_std,classifier_seconds_median,classifier_seconds_iqr,classifier_seconds_ci95,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_median,peak_memory_mb_iqr,peak_memory_mb_ci95,jaccard_stability_mean,jaccard_stability_std,jaccard_stability_median,jaccard_stability_iqr,jaccard_stability_ci95,nogueira_stability_mean,nogueira_stability_std,nogueira_stability_median,nogueira_stability_iqr,nogueira_stability_ci95
breast_cancer,A-EHOA,15,0.949692271274707,0.01563504638657725,0.9451414368564327,0.024547283702213263,0.007912425171592833,0.961092781919557,0.01321192594581959,0.9613733905579399,0.021217374249132726,0.006686157036839366,0.8972269754479787,0.03385370693335376,0.8982560410575398,0.053828416723358696,0.017132339506274713,0.9799455556870637,0.008730291648560987,0.9786365250325482,0.01100341545068717,0.004418137157221625,0.9798876906014296,0.00938490352483924,0.9779452317570625,0.01116961791978377,0.0047494164741755125,0.9568627450980393,0.021510604148644835,0.957983193277311,0.03361344537815125,0.010885867653582716,0.9425217974513748,0.020821882994383083,0.9428571428571428,0.028169014084507005,0.010537326660326213,15.266666666666667,2.491891612715892,15.0,4.5,1.261071149636072,0.39477085357334707,0.026268262331000325,0.3953011744589953,0.030236109672719502,0.013293574892124859,-0.28609626007431443,0.0709019294247292,-0.29441895251308475,0.05343857015729775,0.03588132693845744,0.9090312800000901,0.18673454109438686,0.9103218999998717,0.18415349999986574,0.094500716328512,0.29981720000002193,0.040224711377574794,0.2871698999997534,0.05521374999943873,0.020356512603456032,0.6934301376342773,0.12265898055701557,0.665410041809082,0.19878053665161133,0.062074008690786484,0.39854592957966795,1.1491900087240784e-16,0.39854592957966806,0.0,5.815703853477314e-17,0.11337057496831454,5.745950043620392e-17,0.1133705749683146,0.0,2.907851926738657e-17
breast_cancer,DFA-EHOA,15,0.951528780526295,0.01447604881460071,0.9516806722689075,0.020446206651674736,0.007325891474436998,0.9628169251269257,0.012023415090094625,0.959349593495935,0.01754019258597117,0.006084687557374123,0.9020889733429971,0.030242308377981877,0.8935217350750256,0.04141811340742363,0.015304719675308932,0.9827611044417768,0.007665425810172324,0.9828931572629052,0.011131072147168686,0.003879240689906425,0.9827851169974857,0.008046755631572755,0.9842327501971446,0.01097418381211146,0.004072220205472051,0.9596638655462185,0.024437955630251078,0.9663865546218487,0.04201680672268904,0.012367311902385578,0.9433936955063715,0.028698738127884305,0.9436619718309859,0.02837022132796785,0.014523565350657928,15.333333333333334,2.160246899469287,15.0,3.0,1.0932357680045253,0.4042803970356342,0.03252854806494977,0.40426527387137645,0.03897408007123854,0.016461716591096107,-0.29976399788404456,0.07669309882577076,-0.3167974960634817,0.046035686593817016,0.0388120630174433,2.484275233333392,0.6737251494767484,2.224862199999734,0.2809700500006329,0.34095196775568776,0.31912237333338755,0.10109286208780578,0.28439780000007886,0.05141159999993761,0.05116004691477129,1.4227839787801106,0.047620309490228316,1.440938949584961,0.06348228454589844,0.024099201637994578,0.4264407012492509,1.1491900087240784e-16,0.42644070124925076,0.0,5.815703853477314e-17,0.15640880858272155,0.0,0.15640880858272155,0.0,0.0
breast_cancer,ECG-EHOA,15,0.9529305243224049,0.0120266171099667,0.9516806722689075,0.01706710853355431,0.006086308003006922,0.9635841981086756,0.012057427172406437,0.9666666666666667,0.017622989981231796,0.006101900045880285,0.9041941921404744,0.02948312670483183,0.9089434451018736,0.04310482390739645,0.014920520739666413,0.9810643694097358,0.009064529567693219,0.9810036690732631,0.013056067497421497,0.004587284882099059,0.98085909630597,0.009573460186705492,0.9819345731903488,0.014462316744035753,0.004844839310842175,0.9596638655462185,0.024437955630251088,0.9663865546218487,0.03361344537815125,0.012367311902385584,0.9461971830985916,0.015397810739652875,0.9436619718309859,0.028169014084507005,0.00779236736952996,15.6,2.1313979316066587,16.0,3.5,1.0786361759184604,0.4089748323582787,0.03255446427670598,0.40702896037369835,0.02767263391993019,0.016474832003815842,-0.3153975044592778,0.0636920157854107,-0.33040775883035756,0.03988858253707378,0.03223260721264134,2.5464588399998926,0.5570767370226769,2.363439899999321,0.4933132500004831,0.2819197262063238,0.3010941933332409,0.06883384408881647,0.27589739999984886,0.029098250000060943,0.034834731356692746,1.4326276779174805,0.051611810861104834,1.4290962219238281,0.07286691665649414,0.02611918003386837,0.41070016951274446,5.745950043620392e-17,0.4107001695127444,0.0,2.907851926738657e-17,0.11223036223036204,5.745950043620392e-17,0.11223036223036209,0.0,2.907851926738657e-17
breast_cancer,EHOA,15,0.9526638260938177,0.012214765501763794,0.9516806722689075,0.016327376020830897,0.006181524226511581,0.9633253306249993,0.011382022302288413,0.9666666666666667,0.0174075191775257,0.005760098022195458,0.9033462390018303,0.02826216873870831,0.9089434451018736,0.042749830973216274,0.014302630756755565,0.9816085307362381,0.008657152362733832,0.9789315726290517,0.012434692186733765,0.0043811235717225805,0.9819571227163266,0.009005679761210712,0.978636779927101,0.011995024167016144,0.004557502770895646,0.9591036414565827,0.022202934431345817,0.957983193277311,0.03361344537815125,0.011236235117832912,0.9462240107310529,0.01785155986659835,0.9428571428571428,0.027867203219315906,0.009034135758108922,15.333333333333334,1.9148542155126762,15.0,2.5,0.9690499356471666,0.4059527029596855,0.028714911472279166,0.4025176677322382,0.02603192583147379,0.01453175019220778,-0.3100037253302898,0.0532725618916013,-0.32432713352251424,0.048729632241811205,0.026959636015420826,0.7933194600001419,0.1562665939732089,0.8072118000000046,0.19921330000079251,0.0790818076941678,0.30656752666661,0.043767211839782806,0.29657899999983783,0.046581999999943946,0.02214926518854702,0.6920812606811524,0.10428283409332212,0.6963558197021484,0.11337709426879883,0.05277439548586302,0.3981051224317478,5.745950043620392e-17,0.39810512243174784,0.0,2.907851926738657e-17,0.09923771880293608,0.0,0.09923771880293608,0.0,0.0
breast_cancer,G-EHOA,15,0.9529159269341538,0.01301381733398659,0.9521836903775595,0.022748254231270026,0.006585900246535088,0.9642956837000306,0.010941907543226808,0.9666666666666667,0.014480714197521172,0.005537369223579408,0.9052552089016944,0.027669069562630547,0.9097672817424011,0.03970096016527991,0.014002481161160025,0.9810595224005094,0.008166558463806917,0.9789315726290517,0.011901239368986904,0.004132848803684046,0.9811396556798262,0.008701646053711263,0.978636779927101,0.011567200484154827,0.004403640486080388,0.9624649859943978,0.019801252711705485,0.9747899159663865,0.021008403361344574,0.010020816472900025,0.9433668678739102,0.021488151294181242,0.9428571428571428,0.027867203219315906,0.010874504941478175,22.6,7.278147330978439,18.0,14.0,3.683250738138798,0.402927108580167,0.021218176678818677,0.4008519568608139,0.013414630778753545,0.010737878935422973,-0.36098151464233424,0.055525652287034044,-0.386046852646162,0.08070613280328764,0.02809985707507825,0.8692975000000539,0.15440992836068426,0.8783330000005662,0.09171175000028597,0.07814220525458804,0.3117166133332527,0.04459848537472122,0.3041241999999329,0.031129299999975046,0.022569947639989724,0.7546471277872722,0.13711164688220961,0.6999692916870117,0.1760711669921875,0.069388066992927,0.5848266922863197,1.1491900087240784e-16,0.5848266922863196,0.0,5.815703853477314e-17,-0.026753681620938607,0.0,-0.026753681620938607,0.0,0.0
breast_cancer,IG-EHOA,15,0.9538829052747858,0.01208847301379576,0.9521836903775595,0.01744585158006884,0.0061176114093651444,0.9641324119225114,0.011947172405144754,0.9666666666666667,0.01749730544940664,0.0060461034352275395,0.9057658413974287,0.029159127781995805,0.9097672817424011,0.04261775706691007,0.014756554661841557,0.9806802157482714,0.008649381397960641,0.9815726290516207,0.009562416515902061,0.004377190920948244,0.9803196090420655,0.009083520546701435,0.9819345731903488,0.01347403552936488,0.00459689564350152,0.9596638655462185,0.024230674908989617,0.957983193277311,0.03361344537815125,0.012262413384278005,0.9481019450033534,0.016669778851850944,0.9436619718309859,0.028169014084507005,0.008436072048082095,15.866666666666667,2.0998866182543785,16.0,3.0,1.0626892511192745,0.4071330095288296,0.03250833115742979,0.40426527387137645,0.02635260264086181,0.016451485424267578,-0.30974901577160135,0.06902372061717554,-0.33040775883035756,0.04808868624949103,0.034930822137963,2.3052184733333587,0.2264123168289931,2.309389899999587,0.2707955999994738,0.11458044130744387,0.3053492066666877,0.04661110390036043,0.3051335000000108,0.08917579999979353,0.023588473142846764,1.4311222712198892,0.04602344637400792,1.4138813018798828,0.06865596771240234,0.02329107740196943,0.4145480067577703,0.0,0.4145480067577703,0.0,0.0,0.10431153593512868,2.872975021810196e-17,0.10431153593512865,0.0,1.4539259633693285e-17
breast_cancer,M-EHOA,15,0.9501136229139543,0.010181576946494195,0.9508225825541484,0.010622558882707911,0.00515258885238178,0.9619709132854493,0.010568146058160805,0.9620253164556962,0.011764196000346505,0.005348219814649795,0.8996638806606244,0.025673370416506233,0.8991477490636924,0.027903395534558784,0.01299251804571466,0.9806940804490811,0.006421871643319092,0.9813587406793703,0.008223289315726356,0.003249915451671382,0.979980603972922,0.006763210976766747,0.9793651350745762,0.008358103384347615,0.003422656988040895,0.9596638655462185,0.0242306749089896,0.957983193277311,0.037815126050420145,0.012262413384277998,0.9405633802816902,0.01862922658803153,0.9428571428571428,0.014084507042253502,0.009427689418880949,14.6,1.7237832147426693,15.0,2.5,0.8723546679342449,0.39894109193148514,0.027883103719020925,0.40479089204418156,0.03995981346028987,0.014110797388994038,-0.28036780590999916,0.05972926806014512,-0.2853613165330718,0.08254752505394969,0.03022718016913848,2.78815667333353,0.9212436869730972,2.5610082000002876,0.6384524499999316,0.46621363043954844,0.31792593333332964,0.052296347006998416,0.31136549999973795,0.08906329999990703,0.026465603120676955,0.9051945368448894,0.19127838888296997,1.0210075378417969,0.15378761291503906,0.0968002205787288,0.38086743445553506,5.745950043620392e-17,0.3808674344555351,0.0,2.907851926738657e-17,0.11174930744402362,5.745950043620392e-17,0.11174930744402356,0.0,2.907851926738657e-17
breast_cancer,SF-EHOA,15,0.9482502860299049,0.01235816754770561,0.946218487394958,0.014992898567877777,0.006254095674648891,0.9602992266936123,0.01020634484045823,0.9583333333333334,0.015705256733274275,0.005165123136118644,0.8951542873387806,0.02550166876536523,0.8875606580660433,0.03563914317379013,0.012905625021357631,0.9835683569202327,0.008057483866039343,0.9826014913007457,0.010217608170028591,0.004077649441199363,0.9840307995133041,0.008010934110122419,0.9849401134140079,0.009013000153340611,0.00405409201441969,0.9568627450980393,0.021274821315318136,0.957983193277311,0.03361344537815125,0.010766545076641387,0.9396378269617706,0.025764967163956563,0.9428571428571428,0.020824949698189155,0.013038872395567069,15.8,2.042407542932745,16.0,3.0,1.0336008255930655,0.39879740934177266,0.030416523942881152,0.3953011744589953,0.04046233971939234,0.01539288491555892,-0.29908025538179955,0.07063441495790936,-0.32344470200854086,0.0642932436263155,0.03574594593934203,2.0862401866665095,0.22688731321817024,2.0462532999999894,0.1585229000002073,0.11482082264646998,0.3002958000000338,0.0352071259387973,0.2924984000001132,0.05762845000026573,0.017817264024028445,1.4162481943766276,0.05276624397642622,1.4289073944091797,0.08009195327758789,0.026703403797248514,0.42809257365464687,5.745950043620392e-17,0.4280925736546469,0.0,2.907851926738657e-17,0.13531823854519504,5.745950043620392e-17,0.1353182385451951,0.0,2.907851926738657e-17
wine,A-EHOA,15,0.9562359098228664,0.022824026816060338,0.9583333333333334,0.02717391304347827,0.011550551231593775,0.9514485498640124,0.023428137379736768,0.9518037518037518,0.025686397029791697,0.011856273358172317,0.9275074601597619,0.03420700604170059,0.9262879810909953,0.038412819256516295,0.017311133523821392,0.9907488092544245,0.008298465929695508,0.9888888888888889,0.010604871048869757,0.004199603191717966,0.9782907852030682,0.0189381709238374,0.9757936507936508,0.02544556159074407,0.0095840368244985,0.9562359098228664,0.022824026816060338,0.9583333333333334,0.02717391304347827,0.011550551231593775,0.9758717180035009,0.011756619790198115,0.9759491154839992,0.013830151330151308,0.005949670506936964,7.333333333333333,1.0465362369445672,7.0,1.0,0.529620409140148,0.29342480602537796,0.02524252078337204,0.2863238421126586,0.03272922588699484,0.012774478047745147,0.4893827220154351,0.13333443274244527,0.4850596182586573,0.15441060707133264,0.06747653289836712,0.6949896666665154,0.20072061919847267,0.6755717000005461,0.26674134999984744,0.10157864841176037,0.2521114333333874,0.03626681222299745,0.23818670000036946,0.03616830000009941,0.018353539275267557,0.46210352579752606,0.13456933639141724,0.41289424896240234,0.24146318435668945,0.06810148037054131,0.48490911205196935,1.1491900087240784e-16,0.48490911205196924,0.0,5.815703853477314e-17,0.15683728036669214,5.745950043620392e-17,0.1568372803666922,0.0,2.907851926738657e-17
wine,DFA-EHOA,15,0.959597423510467,0.028115459802643693,0.9583333333333334,0.02898550724637683,0.014228385791316136,0.9563194961635773,0.0270603817219133,0.9518037518037518,0.033642925296062276,0.013694442612795477,0.9340090017347793,0.04113788379605085,0.9272258302032949,0.04848599750955329,0.020818641608468594,0.9899473930529988,0.009282717759205842,0.9886639789824825,0.011373344650908113,0.004697703341755879,0.9768644903749851,0.020568700172727862,0.9742898913951547,0.027696587136061823,0.010409198474355527,0.959597423510467,0.028115459802643693,0.9583333333333334,0.02898550724637683,0.014228385791316136,0.9777752709535655,0.014633165811843905,0.9759491154839992,0.016181041181041245,0.0074054036455642545,7.0,0.9258200997725514,7.0,1.5,0.4685296148590823,0.30080207597365755,0.03623640442717335,0.2937102382091652,0.05250351253432567,0.018338150807389538,0.4895775203793486,0.12021073539153317,0.4612494532795232,0.14443567592291584,0.06083502569101591,1.5243487733333192,0.319192918250862,1.410689899999852,0.23908225000059247,0.16153390393075667,0.2618584866666424,0.06061573201914518,0.24927420000040001,0.036674199999652046,0.03067579282876727,0.7687287012736003,0.013457502003014163,0.768925666809082,0.010046958923339844,0.006810435668858969,0.43806981378409937,1.1491900087240784e-16,0.4380698137840995,0.0,5.815703853477314e-17,0.12154195011337876,0.0,0.12154195011337876,0.0,0.0
