dataset,method,runs,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_iqr,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_median,f1_score_iqr,f1_score_ci95,mcc_mean,mcc_std,mcc_median,mcc_iqr,mcc_ci95,selected_features_mean,selected_features_std,selected_features_median,selected_features_iqr,selected_features_ci95,redundancy_mean,redundancy_std,redundancy_median,redundancy_iqr,redundancy_ci95,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median,runtime_seconds_iqr,runtime_seconds_ci95,jaccard_stability_mean,jaccard_stability_std,jaccard_stability_median,jaccard_stability_iqr,jaccard_stability_ci95,nogueira_stability_mean,nogueira_stability_std,nogueira_stability_median,nogueira_stability_iqr,nogueira_stability_ci95
breast_cancer,DFA-EHOA,5,0.952579365079365,0.018919563761359035,0.9623015873015872,0.025793650793650813,0.01658372882461584,0.9621366496853462,0.013615337586590873,0.971830985915493,0.02147637598641494,0.011934369589048246,0.8994263396237416,0.036591374545487415,0.9246031746031746,0.05464532591143623,0.03207375394255521,14.2,0.8366600265340756,14.0,1.0,0.7333648478076925,0.4092192596813236,0.06874080449582536,0.3980157337715884,0.12626109656263357,0.06025397177882995,1.7669571400037967,0.6283561987681444,1.6155495999846607,0.08974189998116344,0.5507784924153447,0.33220167513645776,0.0,0.33220167513645776,0.0,0.0,0.03726154394722725,0.0,0.03726154394722725,0.0,0.0
breast_cancer,EHOA,5,0.9597222222222221,0.02196698302934286,0.9672619047619048,0.016865079365079416,0.019254909587164398,0.9660693009458388,0.01877690461542995,0.971830985915493,0.006313744536182608,0.016458682569835317,0.9117564581724455,0.04621714889225388,0.9259891667402068,0.02054254769494468,0.04051111716652904,13.0,1.4142135623730951,13.0,0.0,1.2396128427860047,0.4407811562790612,0.02903721535590415,0.4536125060488737,0.026566259746176157,0.025452241465936155,1.378060399997048,0.3272387490624238,1.3083787999930792,0.35757200000807643,0.2868374104080254,0.3645284780578898,0.0,0.3645284780578898,0.0,0.0,0.15837104072398178,0.0,0.15837104072398178,0.0,0.0
breast_cancer,IG-EHOA,5,0.9577380952380953,0.03258441563234306,0.9672619047619048,0.05357142857142849,0.02856149959752214,0.9662812736093607,0.025225499303662163,0.971830985915493,0.04090563165905636,0.022111125034069982,0.9112063645573644,0.06532938000060272,0.9259891667402068,0.11399103596688209,0.057263726366831066,12.8,1.4832396974191326,13.0,1.0,1.3001169178193166,0.40046972824224863,0.05420607537670587,0.39466566853341856,0.05650408890749897,0.0475137199796304,1.5688130399910734,0.49516517426275364,1.3789609000086784,0.5519007999682799,0.4340314119788822,0.35374941364105456,0.0,0.35374941364105456,0.0,0.0,0.14153343023255793,0.0,0.14153343023255793,0.0,0.0
breast_cancer,SF-EHOA,5,0.9515873015873015,0.019331242393511437,0.9484126984126984,0.025793650793650813,0.01694458105591559,0.9622668012239484,0.012572188805205742,0.9577464788732394,0.019450033534540667,0.011020009367405544,0.8994716754630785,0.033941459507200206,0.8886350389948482,0.05464532591143623,0.029751000999753217,14.6,1.1401754250991378,15.0,1.0,0.9994078246641855,0.4251704800183992,0.08131207889793562,0.48030264853824606,0.14500233005998697,0.07127317963658321,1.2361870400141926,0.25796110668869504,1.3067344999872148,0.3369689999963157,0.2261128794819431,0.3565138649806842,0.0,0.3565138649806842,0.0,0.0,0.05265966909802511,0.0,0.05265966909802511,0.0,0.0
wine,DFA-EHOA,5,0.9438095238095239,0.022182504188289806,0.942857142857143,0.023809523809523947,0.019443822212266402,0.9402024304480445,0.02450766291722539,0.9453132832080201,0.03235431235431241,0.02148191369900617,0.910812909365626,0.03371151733791694,0.9167700309890295,0.03813394587204777,0.029549447801760047,6.8,0.4472135954999579,7.0,0.0,0.39199999999999996,0.32018873624240163,0.02109637274863279,0.3347665247996263,0.03721898040453825,0.018491786029489865,0.770901899994351,0.21438253921865005,0.7881288999924436,0.15110190003179014,0.18791458090571111,0.4567171717171717,0.0,0.4567171717171717,0.0,0.0,0.19829222011385195,0.0,0.19829222011385195,0.0,0.0
wine,EHOA,5,0.9342857142857144,0.039180957010903295,0.942857142857143,0.023809523809523947,0.03434362305355168,0.9295357637813778,0.04250895601242773,0.9453132832080201,0.03235431235431241,0.03726074279616403,0.8956908210163194,0.06023481074887864,0.9167700309890295,0.03813394587204777,0.052798139526960434,6.6,0.5477225575051662,7.0,1.0,0.480099989585503,0.3357447822014856,0.055508890758475884,0.31651574236646124,0.03604754610670313,0.048655688011892274,0.6484369999961928,0.2662988664329187,0.6359792999573983,0.35914700001012534,0.23342124812865614,0.44682539682539685,0.0,0.44682539682539685,0.0,0.0,0.19981060606060608,0.0,0.19981060606060608,0.0,0.0
wine,IG-EHOA,5,0.9401587301587302,0.02627211902080393,0.942857142857143,0.019841269841269993,0.02302852766504526,0.9345821988278129,0.032943358547111855,0.9453132832080201,0.032049062049062105,0.028876126934448396,0.904007917745546,0.042427503400023665,0.9158878504672897,0.03434322919752586,0.03718934643347809,6.8,1.9235384061671346,6.0,1.0,1.6860557523403548,0.31115486205498566,0.024452096162293064,0.31651574236646124,0.03168108309346479,0.021433207290809615,0.9169470800086856,0.2928250449747818,0.9793704000185244,0.30222789995605126,0.25667246878259375,0.4186832611832612,0.0,0.4186832611832612,0.0,0.0,0.13662239089184047,0.0,0.13662239089184047,0.0,0.0
wine,SF-EHOA,5,0.9295238095238094,0.033906634512224594,0.942857142857143,0.023809523809523947,0.02972047554576925,0.9244151559941034,0.03694313937019214,0.9453132832080201,0.03235431235431241,0.03238208940612737,0.8879708679577212,0.05197367791519561,0.9167700309890295,0.03813394587204777,0.04555693732875031,6.6,0.5477225575051662,7.0,1.0,0.480099989585503,0.33901918049636265,0.055100682227879096,0.3347665247996263,0.03721898040453825,0.048297877458715666,0.6771862200112082,0.2927938495014415,0.5324489999911748,0.3772647999576293,0.2566451247445939,0.4113888888888889,0.0,0.4113888888888889,0.0,0.0,0.1382575757575757,0.0,0.1382575757575757,0.0,0.0
