dataset,method,runs,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_iqr,balanced_accuracy_ci95,f1_score_mean,f1_score_std,f1_score_median,f1_score_iqr,f1_score_ci95,mcc_mean,mcc_std,mcc_median,mcc_iqr,mcc_ci95,selected_features_mean,selected_features_std,selected_features_median,selected_features_iqr,selected_features_ci95,redundancy_mean,redundancy_std,redundancy_median,redundancy_iqr,redundancy_ci95,interaction_quality_mean,interaction_quality_std,interaction_quality_median,interaction_quality_iqr,interaction_quality_ci95,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_median,runtime_seconds_iqr,runtime_seconds_ci95,jaccard_stability_mean,jaccard_stability_std,jaccard_stability_median,jaccard_stability_iqr,jaccard_stability_ci95,nogueira_stability_mean,nogueira_stability_std,nogueira_stability_median,nogueira_stability_iqr,nogueira_stability_ci95
breast_cancer,DFA-EHOA,5,0.9642857142857142,0.007811515748027569,0.9672619047619048,0.009920634920634774,0.006847095446200707,0.9720641311225915,0.0049549399888298516,0.971830985915493,0.0007717538105344035,0.004343196394666593,0.9253545160588029,0.013280006044620535,0.9259891667402068,0.0014710481461192026,0.011640438532892811,14.2,2.16794833886788,14.0,1.0,1.9002905041072007,0.40314822887207635,0.02915581414859942,0.3980157337715884,0.015371925734217196,0.025556197891242433,-0.2884124038258741,0.034309012185301774,-0.2897982892572319,0.0049413705186360235,0.030073175126983723,2.6523682400002144,0.26049088080076604,2.7952844999963418,0.39669480005977675,0.22833032425980865,0.35079074910596647,0.0,0.35079074910596647,0.0,0.0,0.0773756462827595,0.0,0.0773756462827595,0.0,0.0
breast_cancer,EHOA,5,0.9597222222222221,0.02196698302934286,0.9672619047619048,0.016865079365079416,0.019254909587164398,0.9660693009458388,0.018776904615429923,0.971830985915493,0.006313744536182608,0.016458682569835292,0.9117564581724453,0.046217148892253895,0.9259891667402068,0.02054254769494479,0.040511117166529054,13.0,1.4142135623730951,13.0,0.0,1.2396128427860047,0.4407811562790612,0.02903721535590415,0.4536125060488737,0.026566259746176213,0.025452241465936155,-0.3284287844269273,0.03856002509206188,-0.3241654315098646,0.04690233247526859,0.03379935222941959,1.3635555399931036,0.4494988897157952,1.2866017000051215,0.37197660002857447,0.3940031487003581,0.3645284780578898,0.0,0.3645284780578898,0.0,0.0,0.15837104072398178,0.0,0.15837104072398178,0.0,0.0
breast_cancer,IG-EHOA,5,0.9492063492063492,0.022386369377092513,0.9434523809523808,0.030753968253968034,0.019622517929066604,0.9607285206317705,0.019443895399146274,0.9583333333333334,0.020498084291187824,0.0170433257690755,0.8958754092522291,0.04865250124111413,0.8869047619047619,0.057049696002538064,0.042645797619805435,14.2,1.3038404810405297,14.0,2.0,1.1428665713896788,0.4067680444250973,0.058418323337113894,0.3946656685334185,0.049134090021967225,0.051205918108432814,-0.2863780605869802,0.10769696080431373,-0.2734331174370914,0.045299300034878254,0.09440054832880175,2.7083475599996745,0.3794728156361757,2.779818899987731,0.5825740999425766,0.3326225884592877,0.36044130354771087,0.0,0.36044130354771087,0.0,0.0,0.06400427883758208,0.0,0.06400427883758208,0.0,0.0
breast_cancer,SF-EHOA,5,0.9543650793650793,0.017537370565142506,0.9603174603174602,0.018849206349206393,0.015372183070262916,0.9651615538178939,0.010763181284951271,0.9645390070921984,0.014084507042253613,0.009434344362863393,0.906800809553663,0.029922621783540174,0.9085472857180888,0.03735412774535862,0.026228334418220634,14.2,1.9235384061671346,14.0,2.0,1.6860557523403548,0.414070095056308,0.05124050358898092,0.4380422094759119,0.0633664956109129,0.04491428169670304,-0.2688910795704017,0.10151058451910136,-0.2874279053638554,0.0869815216141532,0.08897795042881577,2.550457020010799,0.31758933444238485,2.684729599975981,0.38620670000091195,0.2783793255708984,0.3747114162217137,0.0,0.3747114162217137,0.0,0.0,0.13086111606346917,0.0,0.13086111606346917,0.0,0.0
wine,DFA-EHOA,5,0.9485714285714286,0.017625481450782736,0.942857142857143,0.00952380952380949,0.015449415666763828,0.9463265285721427,0.017411088711823675,0.94531328320802,0.00586080586080584,0.015261492145391457,0.9192847864857001,0.02676989062089864,0.9167700309890296,0.004672897196261849,0.023464843709996856,7.4,0.8944271909999157,7.0,0.0,0.7839999999999998,0.31905821836572673,0.01733390657090088,0.3128571439120537,0.02650853918624929,0.015193839016000538,0.3941173675305268,0.11491337280940873,0.44626828579469535,0.06190596940655474,0.10072601234524065,1.4110026600188577,0.21188165865048467,1.413159599993378,0.13057340000523254,0.18572246243573287,0.45545454545454545,0.0,0.45545454545454545,0.0,0.0,0.09025096525096521,0.0,0.09025096525096521,0.0,0.0
wine,EHOA,5,0.9342857142857144,0.03918095701090333,0.942857142857143,0.023809523809524058,0.03434362305355171,0.9295357637813778,0.042508956012427726,0.94531328320802,0.03235431235431241,0.03726074279616402,0.8956908210163194,0.060234810748878646,0.9167700309890296,0.03813394587204777,0.05279813952696044,6.6,0.5477225575051662,7.0,1.0,0.480099989585503,0.3357447822014856,0.05550889075847588,0.3165157423664612,0.03604754610670313,0.04865568801189227,0.46425826260128034,0.18514005424681562,0.4928719630717,0.2000682155058665,0.1622824126883203,0.7008150600013323,0.23280283665926127,0.6556639000191353,0.4049168000346981,0.20406068350495618,0.44682539682539685,0.0,0.44682539682539685,0.0,0.0,0.19981060606060608,0.0,0.19981060606060608,0.0,0.0
wine,IG-EHOA,5,0.9287301587301589,0.053612271320849704,0.942857142857143,0.06746031746031744,0.04699322777582029,0.9225134466571117,0.06223790143480101,0.94531328320802,0.08551260500285995,0.054553925926977526,0.8884762914799044,0.08465405511095939,0.9167700309890296,0.11317988541656665,0.07420255094525452,8.0,1.5811388300841898,8.0,2.0,1.3859292911256331,0.3042251233398175,0.024701632813972797,0.30834019940187,0.01512820010499949,0.021651935809894773,0.3948640571244416,0.1333411469407274,0.4254569078698591,0.1173567333086209,0.1168786685528438,1.342399120016489,0.20817766090935869,1.4052718000020832,0.16202039999188855,0.18247576526656886,0.49871212121212116,0.0,0.49871212121212116,0.0,0.0,0.12250000000000005,0.0,0.12250000000000005,0.0,0.0
wine,SF-EHOA,5,0.943809523809524,0.04304192967038738,0.9523809523809524,0.03333333333333344,0.037727914805294506,0.9406192975315782,0.0453458999936541,0.9487179487179488,0.026468021906618455,0.0397474338355934,0.9110576202031899,0.06556951435388948,0.9205607476635514,0.04239048196751294,0.057474213408002475,6.6,0.5477225575051662,7.0,1.0,0.480099989585503,0.3354420642321699,0.056893401178915295,0.3094294199112121,0.04467050397198852,0.04986926490283074,0.44035339348716046,0.16702060089257137,0.457781613096705,0.1462521335422139,0.14640001155755142,1.4182913200114853,0.5213656871163231,1.1538541000336409,0.4164992999867536,0.45699717407096996,0.443888888888889,0.0,0.443888888888889,0.0,0.0,0.19981060606060608,0.0,0.19981060606060608,0.0,0.0
