dataset,samples,total_features,selected_features,reduction_percent,best_cv_accuracy,best_fitness,knn_test_accuracy,knn_test_balanced_accuracy
breast_cancer,569,30,15,50.0,0.9714285714285715,0.03328571428571419,0.9210526315789473,0.9275793650793651
wine,178,13,6,53.84615384615385,0.9785714285714286,0.025829670329670262,0.9722222222222222,0.9761904761904763
